sample,cluster
G1_IIIFS.1,2
G1_IIIFS.2,2
G1_IIIFS.3,2
G2_IIIFS,2
G2_IIIFS.1,2
G2_IIIFS.2,2
G2_IIIFS.3,2
G3_IIIFS,2
G3_IIIFS.1,2
G3_IIIFS.2,2
G3_IIIFS.3,2
G4_IIIFS,2
G4_IIIFS.1,2
G4_IIIFS.2,2
G4_IIIFS.3,2
G5_IIIFS,2
G5_IIIFS.1,2
G5_IIIFS.2,2
G5_IIIFS.3,2
GT_IIIFS,2
GT_IIIFS.1,2
GT_IIIFS.2,2
GT_IIIFS.3,2
P1_IIIFS,2
P1_IIIFS.1,2
P1_IIIFS.2,2
P1_IIIFS.3,2
P2_IIIFS,2
P2_IIIFS.1,2
P2_IIIFS.2,2
P2_IIIFS.3,2
P3_IIIFS,2
P3_IIIFS.1,2
P3_IIIFS.2,2
P3_IIIFS.3,2
P4_IIIFS,2
P4_IIIFS.1,2
P4_IIIFS.2,2
P4_IIIFS.3,2
P5.2_IIFSM,2
P5.4_IIFS,2
C1.2_IVFS,3
C1.3_IVFS,3
C1.4_IVFS,3
C1_IVFS,3
C2.2_IVFS,3
C2.3_IIFSM,3
C2.3_IVFS,3
C2.4_IIFS,3
C2.4_IVFS,3
C2_IIFS,3
C2_IVFS,3
C3.2_IVFS,3
C3.3_IIFS,3
C3.3_IVFS,3
C3.4_IVFS,3
C3_IVFS,3
C4.2_IIFSM,3
C4.2_IVFS,3
C4.3_IIFSM,3
C4.3_IVFS,3
C4.4_IVFS,3
C4_IIFSM,3
C4_IVFS,3
C5.2_IIFS,3
C5.2_IVFS,3
C5.3_IIFS,3
C5.4_IIFS,3
C5_IVFS,3
CT.2_4FS,3
CT.3_2FS,3
CT.3_4FS,3
CT.4_4FS,3
CT_4FS,3
D2.4_IIFS,3
D2.4_IIFSM,3
D2_IIFSM,3
DT.4_2FS,3
G4.2_IIFSMB,3
G5_IIFS,3
P1.2_IIFS,3
P1.4_IIFS,3
P1_IIFS,3
C1.4_IIFS,4
C2.3_IIFS,4
C2.4_IIFSM,4
C2_IIFSM,4
C3.4_IIFS,4
C3.4_IIFSM,4
C3_IIFS,4
C4.3_IIFS,4
C4_IIFS,4
D1.3_IISM,4
D2_IISM,4
D4.2_IIFS,4
D4.2_IIFSM,4
D4_IIFS,4
D5_IISM,4
G2.2_IIFSM,4
G2.3_IIFS,4
G2.3_IIFSM,4
G2_IIFSM,4
G3_IIFS,4
G4.2_IIFSMA,4
G4.3_IIFSMA,4
G4.3_IIFSMB,4
GT.2_2FS,4
P1.2_IIFSM,4
P2.2_IIFS,4
P2.2_IIFSM,4
P2.3_IIFSM,4
P3.3_IIFSM,4
P3_IIFSM,4
P4.2_IIFSM,4
P5.2_IIFS,4
P5.3_IIFS,4
P5_IIFS,4
P5_IIFSM,4
PT.3_2FSM,4
CT.2_2FSM,5
CT.2_2SM,5
CT.3_2SM,5
CT.4_2FS,5
CT.4_2S,5
CT.4_2SM,5
CT_2FS,5
CT_2S,5
CT_2SM,5
D4.4_IISM,5
DT.2_2S,5
DT.2_2SM,5
DT.3_2S,5
DT.3_2SM,5
DT.4_2S,5
DT.4_2SM,5
DT_2S,5
G1.2_IIFS,5
G1.2_IIS,5
G1.3_IIFS,5
G1.3_IIS,5
G1.4_IIFS,5
G1.4_IIS,5
G1_IIFS,5
G1_IIS,5
G2.2_IIFS,5
G2.2_IIS,5
G2.3_IIS,5
G2.4_IIFS,5
G2.4_IIS,5
G2_IIFS,5
G2_IIS,5
G3.2_IIS,5
G3.3_IIS,5
G3.4_IIS,5
G3_IIS,5
G5.2_IIS,5
G5.3_IIS,5
G5.4_IIS,5
G5_IIS.4,5
GT.2_2S,5
GT.3_2S,5
GT.4_2S,5
GT_2S,5
P1.2_IIS,5
P1.2_IISM,5
P1.3_IIFS,5
P1.3_IIS,5
P1.3_IISM,5
P1.4_IIS,5
P1.4_IISM,5
P1_IIS,5
P1_IISM,5
P2.2_IIS,5
P2.2_IISM,5
P2.3_IIS,5
P2.3_IISM,5
P2.4_IIS,5
P2.4_IISM,5
P2_IIS,5
P2_IISM,5
P3.2_IIFSM,5
P3.2_IISM,5
P3.3_IISM,5
P3.4_IIS,5
P3.4_IISM,5
P3_IISM,5
P4.2_IIS,5
P4.2_IISM,5
P4.3_IIS,5
P4.3_IISM,5
P4.4_IIS,5
P4.4_IISM,5
P4_IIS,5
P4_IISM,5
P5.2_IIS,5
P5.2_IISM,5
P5.3_IIS,5
P5.3_IISM,5
P5.4_IIS,5
P5.4_IISM,5
P5_IIS,5
P5_IISM,5
PT.2_2FS,5
PT.2_2S,5
PT.2_2SM,5
PT.3_2FS,5
PT.3_2S,5
PT.3_2SM,5
PT.4_2FS,5
PT.4_2S,5
PT.4_2SM,5
PT_2FS,5
PT_2FSM,5
PT_2S,5
PT_2SM,5
C1_IISM,6
C1_IISM.1,6
C1_IISM.2,6
C1_IISM.3,6
C1_IVSM,6
C1_IVSM.1,6
C1_IVSM.2,6
C1_IVSM.3,6
C2_IVSM,6
C2_IVSM.1,6
C2_IVSM.2,6
C2_IVSM.3,6
C3_IVSM,6
C3_IVSM.1,6
C3_IVSM.2,6
C3_IVSM.3,6
C4_IVSM,6
C4_IVSM.1,6
C4_IVSM.2,6
C4_IVSM.3,6
C5_IVSM,6
C5_IVSM.1,6
C5_IVSM.2,6
C5_IVSM.3,6
CT_IVS,6
CT_IVS.1,6
CT_IVS.2,6
CT_IVS.3,6
CT_IVSM,6
CT_IVSM.1,6
CT_IVSM.2,6
CT_IVSM.3,6
D1_IIISM,6
D1_IIISM.1,6
D1_IIISM.2,6
D1_IIISM.3,6
D1_IVSM,6
D1_IVSM.1,6
D1_IVSM.2,6
D1_IVSM.3,6
D2_IIISM,6
D2_IIISM.1,6
D2_IIISM.2,6
D2_IIISM.3,6
D2_IVSM,6
D2_IVSM.1,6
D2_IVSM.2,6
D2_IVSM.3,6
D3_IIISM,6
D3_IIISM.1,6
D3_IIISM.2,6
D3_IIISM.3,6
D3_IVSM,6
D3_IVSM.1,6
D3_IVSM.2,6
D3_IVSM.3,6
D4_IIFSM,6
D4_IIISM,6
D4_IIISM.1,6
D4_IIISM.2,6
D4_IIISM.3,6
D4_IVSM,6
D4_IVSM.1,6
D4_IVSM.2,6
D4_IVSM.3,6
D5_IIISM,6
D5_IIISM.1,6
D5_IIISM.2,6
D5_IIISM.3,6
D5_IVSM,6
D5_IVSM.1,6
D5_IVSM.2,6
D5_IVSM.3,6
DT_IIISM,6
DT_IIISM.1,6
