sample,cluster
P4_IS.2,16
P4_IS.3,16
P5_IFS,16
P5_IFS.1,16
P5_IFS.2,16
P5_IFS.3,16
P5_IS,16
P5_IS.1,16
P5_IS.2,16
P5_IS.3,16
C1_IIIFS,17
C1_IIIFS.1,17
C1_IIIFS.2,17
C1_IIIFS.3,17
C1_IIS,17
C1_IIS.1,17
C1_IIS.2,17
C1_IIS.3,17
C2_IIIFS,17
C2_IIIFS.1,17
C2_IIIFS.2,17
C2_IIIFS.3,17
C2_IIS,17
C2_IIS.1,17
C2_IIS.2,17
C2_IIS.3,17
C3_IIIFS,17
C3_IIIFS.1,17
C3_IIIFS.2,17
C3_IIIFS.3,17
C3_IIS,17
C3_IIS.1,17
C3_IIS.2,17
C3_IIS.3,17
C4_IIIFS,17
C4_IIIFS.1,17
C4_IIIFS.2,17
C4_IIIFS.3,17
C4_IIS,17
C4_IIS.1,17
C4_IIS.2,17
C4_IIS.3,17
C5_IIIFS,17
C5_IIIFS.1,17
C5_IIIFS.2,17
C5_IIIFS.3,17
CT_IIIFS,17
CT_IIIFS.1,17
CT_IIIFS.2,17
CT_IIIFS.3,17
CT_IIS,17
CT_IIS.1,17
CT_IIS.2,17
CT_IIS.3,17
C1_IIISM,18
C1_IIISM.1,18
C1_IIISM.2,18
C1_IIISM.3,18
C2_IIISM,18
C2_IIISM.1,18
C2_IIISM.2,18
C2_IIISM.3,18
C3_IIISM,18
C3_IIISM.1,18
C3_IIISM.2,18
C3_IIISM.3,18
C4_IIISM,18
C4_IIISM.1,18
C4_IIISM.2,18
C4_IIISM.3,18
CT_IIISM,18
CT_IIISM.1,18
CT_IIISM.2,18
CT_IIISM.3,18
G1_IISM,18
G1_IISM.1,18
G1_IISM.2,18
G1_IISM.3,18
G2_IISM,18
G2_IISM.1,18
G2_IISM.2,18
G2_IISM.3,18
G3_IISM,18
G3_IISM.1,18
G3_IISM.2,18
G3_IISM.3,18
G4_IISM,18
G4_IISM.1,18
G4_IISM.2,18
G4_IISM.3,18
G5_IIS,18
G5_IIS.1,18
G5_IIS.2,18
G5_IIS.3,18
GT_IISM,18
GT_IISM.1,18
GT_IISM.2,18
GT_IISM.3,18
C1_IS,19
C1_IS.1,19
C1_IS.2,19
C1_IS.3,19
C2_IS,19
C2_IS.1,19
C2_IS.2,19
C2_IS.3,19
C3_IS,19
C3_IS.1,19
C3_IS.2,19
C3_IS.3,19
C4_IS,19
C4_IS.1,19
C4_IS.2,19
C4_IS.3,19
C5_IS,19
C5_IS.1,19
C5_IS.2,19
C5_IS.3,19
D1_IS,19
D1_IS.1,19
D1_IS.2,19
D1_IS.3,19
D2_IS,19
D2_IS.1,19
D2_IS.2,19
D2_IS.3,19
D3_IS,19
D3_IS.1,19
D3_IS.2,19
D3_IS.3,19
D4_IS,19
D4_IS.1,19
D4_IS.2,19
D4_IS.3,19
D5_IS,19
D5_IS.1,19
D5_IS.2,19
D5_IS.3,19
